NodeId,Degree,Closeness,Betweennes,EigenVector,NetworkConstraint,ClusteringCoefficient,PageRank,HubScore,AuthorityScore
100000003326911,15.000000,0.251201,2976.733241,0.005283,0.133660,0.400000,0.000348,0.005283,0.005283
100001614715252,11.000000,0.258355,803.919473,0.002611,0.153846,0.472727,0.000237,0.002611,0.002611
100003181998141,5.000000,0.202983,211.693711,0.000142,0.363000,0.300000,0.000234,0.000142,0.000142
100000010012110,7.000000,0.216249,3253.882710,0.000134,0.225753,0.285714,0.000279,0.000134,0.000134
100004743035975,11.000000,0.236206,3068.965543,0.001271,0.166025,0.381818,0.000283,0.001271,0.001271
100014974989052,8.000000,0.248950,18049.418527,0.000906,0.166655,0.214286,0.000346,0.000906,0.000906
100000015343350,13.000000,0.232479,1046.834127,0.001011,0.196522,0.679487,0.000302,0.001011,0.001011
100003848726321,30.000000,0.270734,10684.051037,0.011575,0.070815,0.282759,0.000541,0.011575,0.011575
100000021805147,27.000000,0.271285,1527.132595,0.020479,0.051006,0.230769,0.000386,0.020479,0.020479
100000485944581,105.000000,0.305673,34190.556335,0.100958,0.020368,0.240110,0.001318,0.100958,0.100958
100000805706163,56.000000,0.286343,15016.676788,0.035371,0.032010,0.179221,0.000767,0.035370,0.035370
100003930249967,12.000000,0.251035,312.114990,0.005087,0.117023,0.242424,0.000220,0.005087,0.005087
100004625314055,33.000000,0.280442,16951.035389,0.017093,0.048146,0.142045,0.000613,0.017093,0.017093
1445858426,15.000000,0.244007,218.286787,0.006592,0.111011,0.447619,0.000235,0.006592,0.006592
1520843126,31.000000,0.266487,644.940614,0.027817,0.055860,0.436559,0.000399,0.027817,0.027817
100000023808422,6.000000,0.237025,2862.105152,0.001599,0.187795,0.066667,0.000217,0.001599,0.001599
100000011334631,50.000000,0.281359,6310.434494,0.035553,0.036172,0.238367,0.000693,0.035553,0.035553
100000026205894,42.000000,0.284784,14332.369383,0.031648,0.033155,0.178862,0.000588,0.031648,0.031648
100001836810570,17.000000,0.266887,845.283457,0.013880,0.077750,0.257353,0.000273,0.013880,0.013880
593869653,35.000000,0.268337,9470.083546,0.007170,0.048496,0.152941,0.000622,0.007170,0.007170
100000032292295,17.000000,0.251461,316.994462,0.008366,0.121036,0.669118,0.000261,0.008366,0.008366
1411217039,15.000000,0.246079,148.240346,0.006315,0.120914,0.542857,0.000238,0.006315,0.006315
100000035026904,5.000000,0.239903,23.750135,0.002645,0.232132,0.400000,0.000110,0.002645,0.002645
1000661799,77.000000,0.301424,24269.678005,0.073129,0.023579,0.228640,0.001017,0.073129,0.073129
1095243242,35.000000,0.276602,3210.743265,0.028912,0.046973,0.305882,0.000486,0.028912,0.028912
100000041712294,39.000000,0.280766,5638.985326,0.034802,0.043844,0.340081,0.000551,0.034802,0.034802
100000054531291,20.000000,0.272672,1680.515151,0.009259,0.085956,0.315789,0.000347,0.009259,0.009259
566499570,75.000000,0.297656,18263.941954,0.070080,0.024335,0.233153,0.000972,0.070081,0.070081
